Circuit,Type,Direction,Location,Country,Last length used,Turns,Latitude,Longitude,Grands Prix held,from,to,isActivePeriod,CircuitLocationID
Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,Australia,3.780 km (2.349 mi),16,-34.9306,138.6206,11,1985,1995,False,46946
Ain-Diab Circuit,Road circuit,Clockwise,Casablanca,Morocco,7.618 km (4.734 mi),18,33.5786,-7.6875,1,1958,1958,False,20953
Aintree Motor Racing Circuit,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km (3.000 mi),12,53.4769,-2.9406,5,1955,1955,False,26284
Aintree Motor Racing Circuit,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km (3.000 mi),12,53.4769,-2.9406,5,1957,1957,False,26284
Aintree Motor Racing Circuit,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km (3.000 mi),12,53.4769,-2.9406,5,1959,1959,False,26284
Aintree Motor Racing Circuit,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km (3.000 mi),12,53.4769,-2.9406,5,1961,1962,False,26284
Albert Park Circuit,Street circuit,Clockwise,Melbourne,Australia,5.278 km (3.280 mi),16,-37.8497,144.9683,28,1996,2019,False,73060
Albert Park Circuit,Street circuit,Clockwise,Melbourne,Australia,5.278 km (3.280 mi),16,-37.8497,144.9683,28,2022,2025,True,73060
Algarve International Circuit,Race circuit,Clockwise,Portimão,Portugal,4.653 km (2.891 mi),15,37.2319,-8.6319,2,2020,2021,False,68059
Autódromo do Estoril,Race circuit,Clockwise,Estoril,Portugal,4.360 km (2.709 mi),13,38.7508,-9.3942,13,1984,1996,False,60169
Autódromo Hermanos Rodríguez,Race circuit,Clockwise,Mexico City,Mexico,4.304 km (2.674 mi),17,19.4061,-99.0925,24,1963,1970,False,55162
Autódromo Hermanos Rodríguez,Race circuit,Clockwise,Mexico City,Mexico,4.304 km (2.674 mi),17,19.4061,-99.0925,24,1986,1992,False,55162
Autódromo Hermanos Rodríguez,Race circuit,Clockwise,Mexico City,Mexico,4.304 km (2.674 mi),17,19.4061,-99.0925,24,2015,2019,False,55162
Autódromo Hermanos Rodríguez,Race circuit,Clockwise,Mexico City,Mexico,4.304 km (2.674 mi),17,19.4061,-99.0925,24,2021,2025,True,55162
Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,Brazil,5.031 km (3.126 mi),11,-22.9756,-43.395,10,1978,1978,False,73186
Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,Brazil,5.031 km (3.126 mi),11,-22.9756,-43.395,10,1981,1989,False,73186
Autodromo Internazionale del Mugello,Race circuit,Clockwise,Scarperia e San Piero,Italy,5.245 km (3.259 mi),14,43.9975,11.3719,1,2020,2020,False,94760
Autodromo Internazionale Enzo e Dino Ferrari,Race circuit,Anti-clockwise,Imola,Italy,4.909 km (3.050 mi),17,44.3411,11.7133,32,1980,2006,False,26224
Autodromo Internazionale Enzo e Dino Ferrari,Race circuit,Anti-clockwise,Imola,Italy,4.909 km (3.050 mi),17,44.3411,11.7133,32,2020,2022,False,26224
Autodromo Internazionale Enzo e Dino Ferrari,Race circuit,Anti-clockwise,Imola,Italy,4.909 km (3.050 mi),17,44.3411,11.7133,32,2024,2025,True,26224
Autodromo José Carlos Pace,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km (2.677 mi),15,-23.7011,-46.6972,41,1973,1977,False,80581
Autodromo José Carlos Pace,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km (2.677 mi),15,-23.7011,-46.6972,41,1979,1980,False,80581
Autodromo José Carlos Pace,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km (2.677 mi),15,-23.7011,-46.6972,41,1990,2019,False,80581
Autodromo José Carlos Pace,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km (2.677 mi),15,-23.7011,-46.6972,41,2021,2025,True,80581
Autodromo Nazionale di Monza,Race circuit,Clockwise,Monza,Italy,5.793 km (3.600 mi),11,45.6206,9.2894,74,1950,1979,False,58117
Autodromo Nazionale di Monza,Race circuit,Clockwise,Monza,Italy,5.793 km (3.600 mi),11,45.6206,9.2894,74,1981,2025,True,58117
Autódromo Oscar y Juan Gálvez,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),18,-34.6943,-58.4593,20,1953,1958,False,67637
Autódromo Oscar y Juan Gálvez,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),18,-34.6943,-58.4593,20,1960,1960,False,67637
Autódromo Oscar y Juan Gálvez,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),18,-34.6943,-58.4593,20,1972,1975,False,67637
Autódromo Oscar y Juan Gálvez,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),18,-34.6943,-58.4593,20,1977,1981,False,67637
Autódromo Oscar y Juan Gálvez,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),18,-34.6943,-58.4593,20,1995,1998,False,67637
AVUS,Road circuit,Anti-clockwise,Berlin,Germany,8.300 km (5.157 mi),4,52.4806,13.2514,1,1959,1959,False,75655
