Position,Team,Starting Grid,Total Time/Gap/Retirement,Points,Fastest Lap,DateID,DriverID,CircuitLocationID_x
1,Mercedes,1.0,1:30:55.739,25.0,No,20200705,2,174
2,Ferrari,7.0,+2.700,18.0,No,20200705,8,174
3,McLaren Renault,3.0,+5.491,16.0,Yes,20200705,9,174
4,Mercedes,5.0,+5.689,12.0,No,20200705,1,174
5,McLaren Renault,8.0,+8.903,10.0,No,20200705,6,174
6,Racing Point BWT Mercedes,6.0,+15.092,8.0,No,20200705,4,174
7,AlphaTauri Honda,12.0,+16.682,6.0,No,20200705,10,174
8,Renault,14.0,+17.456,4.0,No,20200705,12,174
9,Alfa Romeo Racing Ferrari,18.0,+21.146,2.0,No,20200705,17,174
10,Ferrari,11.0,+24.545,1.0,No,20200705,13,174
11,Williams Mercedes,20.0,+31.650,0.0,No,20200705,21,174
NC,AlphaTauri Honda,13.0,DNF,0.0,No,20200705,14,174
NC,Red Bull Racing Honda,4.0,DNF,0.0,No,20200705,7,174
NC,Alfa Romeo Racing Ferrari,19.0,DNF,0.0,No,20200705,16,174
NC,Williams Mercedes,17.0,DNF,0.0,No,20200705,18,174
NC,Haas Ferrari,15.0,DNF,0.0,No,20200705,19,174
NC,Haas Ferrari,16.0,DNF,0.0,No,20200705,20,174
NC,Racing Point BWT Mercedes,9.0,DNF,0.0,No,20200705,11,174
NC,Renault,10.0,DNF,0.0,No,20200705,5,174
NC,Red Bull Racing Honda,2.0,DNF,0.0,No,20200705,3,174
1,Mercedes,1.0,1:22:50.683,25.0,No,20200712,1,174
2,Mercedes,4.0,+13.719,18.0,No,20200712,2,174
3,Red Bull Racing Honda,2.0,+33.698,15.0,No,20200712,3,174
4,Red Bull Racing Honda,6.0,+44.400,12.0,No,20200712,7,174
5,McLaren Renault,9.0,+61.470,10.0,No,20200712,9,174
6,Racing Point BWT Mercedes,17.0,+62.387,8.0,No,20200712,4,174
7,Racing Point BWT Mercedes,12.0,+62.453,6.0,No,20200712,11,174
8,Renault,8.0,+62.591,4.0,No,20200712,5,174
9,McLaren Renault,3.0,+1 lap,3.0,Yes,20200712,6,174
10,AlphaTauri Honda,13.0,+1 lap,1.0,No,20200712,14,174
11,Alfa Romeo Racing Ferrari,16.0,+1 lap,0.0,No,20200712,16,174
12,Haas Ferrari,15.0,+1 lap,0.0,No,20200712,20,174
13,Haas Ferrari,20.0,+1 lap,0.0,No,20200712,19,174
14,Alfa Romeo Racing Ferrari,19.0,+1 lap,0.0,No,20200712,17,174
15,AlphaTauri Honda,7.0,+1 lap,0.0,No,20200712,10,174
16,Williams Mercedes,11.0,+2 laps,0.0,No,20200712,18,174
17,Williams Mercedes,18.0,+2 laps,0.0,No,20200712,21,174
NC,Renault,5.0,DNF,0.0,No,20200712,12,174
NC,Ferrari,14.0,DNF,0.0,No,20200712,8,174
NC,Ferrari,10.0,DNF,0.0,No,20200712,13,174
1,Mercedes,1.0,1:36:12.473,26.0,Yes,20200719,1,131
2,Red Bull Racing Honda,7.0,+8.702,18.0,No,20200719,3,131
3,Mercedes,2.0,+9.452,15.0,No,20200719,2,131
4,Racing Point BWT Mercedes,3.0,+57.579,12.0,No,20200719,11,131
5,Red Bull Racing Honda,13.0,+78.316,10.0,No,20200719,7,131
6,Ferrari,5.0,+1 lap,8.0,No,20200719,13,131
7,Racing Point BWT Mercedes,4.0,+1 lap,6.0,No,20200719,4,131
8,Renault,11.0,+1 lap,4.0,No,20200719,5,131
9,McLaren Renault,9.0,+1 lap,2.0,No,20200719,6,131
10,Haas Ferrari,16.0,+1 lap,1.0,No,20200719,20,131
11,Ferrari,6.0,+1 lap,0.0,No,20200719,8,131
12,AlphaTauri Honda,17.0,+1 lap,0.0,No,20200719,14,131
13,McLaren Renault,8.0,+1 lap,0.0,No,20200719,9,131
14,Renault,14.0,+1 lap,0.0,No,20200719,12,131
15,Alfa Romeo Racing Ferrari,20.0,+1 lap,0.0,No,20200719,16,131
16,Haas Ferrari,18.0,+1 lap,0.0,No,20200719,19,131
17,Alfa Romeo Racing Ferrari,19.0,+1 lap,0.0,No,20200719,17,131
18,Williams Mercedes,12.0,+1 lap,0.0,No,20200719,18,131
19,Williams Mercedes,15.0,+5 laps,0.0,No,20200719,21,131
NC,AlphaTauri Honda,10.0,DNF,0.0,No,20200719,10,131
1,Mercedes,1.0,1:28:01.283,25.0,No,20200802,1,202
2,Red Bull Racing Honda,3.0,+5.856,19.0,Yes,20200802,3,202
3,Ferrari,4.0,+18.474,15.0,No,20200802,8,202
4,Renault,8.0,+19.650,12.0,No,20200802,5,202
5,McLaren Renault,5.0,+22.277,10.0,No,20200802,9,202
6,Renault,9.0,+26.937,8.0,No,20200802,12,202
7,AlphaTauri Honda,11.0,+31.188,6.0,No,20200802,10,202
8,Red Bull Racing Honda,12.0,+32.670,4.0,No,20200802,7,202
9,Racing Point BWT Mercedes,6.0,+37.311,2.0,No,20200802,11,202
10,Ferrari,10.0,+41.857,1.0,No,20200802,13,202
11,Mercedes,2.0,+42.167,0.0,No,20200802,2,202
12,Williams Mercedes,20.0,+52.004,0.0,No,20200802,18,202
13,McLaren Renault,7.0,+53.370,0.0,No,20200802,6,202
14,Alfa Romeo Racing Ferrari,15.0,+54.205,0.0,No,20200802,17,202
15,Williams Mercedes,18.0,+54.549,0.0,No,20200802,21,202
16,Haas Ferrari,17.0,+55.050,0.0,No,20200802,19,202
17,Alfa Romeo Racing Ferrari,16.0,+1 lap,0.0,No,20200802,16,202
NC,AlphaTauri Honda,19.0,DNF,0.0,No,20200802,14,202
NC,Haas Ferrari,14.0,DNF,0.0,No,20200802,20,202
NC,Racing Point BWT Mercedes,13.0,DNF,0.0,No,20200802,15,202
1,Red Bull Racing Honda,4.0,1:19:41.993,25.0,No,20200809,3,202
2,Mercedes,2.0,+11.326,19.0,Yes,20200809,1,202
3,Mercedes,1.0,+19.231,15.0,No,20200809,2,202
4,Ferrari,8.0,+29.289,12.0,No,20200809,8,202
5,Red Bull Racing Honda,9.0,+39.146,10.0,No,20200809,7,202
6,Racing Point BWT Mercedes,6.0,+42.538,8.0,No,20200809,11,202
7,Racing Point BWT Mercedes,3.0,+55.951,6.0,No,20200809,15,202
8,Renault,14.0,+64.773,4.0,No,20200809,12,202
9,McLaren Renault,10.0,+65.544,2.0,No,20200809,9,202
10,AlphaTauri Honda,16.0,+69.669,1.0,No,20200809,14,202
11,AlphaTauri Honda,7.0,+70.642,0.0,No,20200809,10,202
12,Ferrari,11.0,+73.370,0.0,No,20200809,13,202
13,McLaren Renault,12.0,+74.070,0.0,No,20200809,6,202
14,Renault,5.0,+1 lap,0.0,No,20200809,5,202
15,Alfa Romeo Racing Ferrari,20.0,+1 lap,0.0,No,20200809,16,202
16,Haas Ferrari,13.0,+1 lap,0.0,No,20200809,19,202
17,Alfa Romeo Racing Ferrari,19.0,+1 lap,0.0,No,20200809,17,202
18,Williams Mercedes,15.0,+1 lap,0.0,No,20200809,18,202
19,Williams Mercedes,18.0,+1 lap,0.0,No,20200809,21,202
NC,Haas Ferrari,17.0,DNF,0.0,No,20200809,20,202
1,Mercedes,1.0,1:31:45.279,25.0,No,20200816,1,54
2,Red Bull Racing Honda,3.0,+24.177,18.0,No,20200816,3,54
3,Mercedes,2.0,+44.752,16.0,Yes,20200816,2,54
4,Racing Point BWT Mercedes,5.0,+1 lap,12.0,No,20200816,11,54
5,Racing Point BWT Mercedes,4.0,+1 lap,10.0,No,20200816,4,54
6,McLaren Renault,7.0,+1 lap,8.0,No,20200816,6,54
7,Ferrari,11.0,+1 lap,6.0,No,20200816,13,54
8,Red Bull Racing Honda,6.0,+1 lap,4.0,No,20200816,7,54
9,AlphaTauri Honda,10.0,+1 lap,2.0,No,20200816,10,54
10,McLaren Renault,8.0,+1 lap,1.0,No,20200816,9,54
11,Renault,13.0,+1 lap,0.0,No,20200816,5,54
12,AlphaTauri Honda,12.0,+1 lap,0.0,No,20200816,14,54
13,Renault,15.0,+1 lap,0.0,No,20200816,12,54
14,Alfa Romeo Racing Ferrari,14.0,+1 lap,0.0,No,20200816,16,54
15,Haas Ferrari,16.0,+1 lap,0.0,No,20200816,20,54
