DriverID,Driver,Abbreviation,Country,Date of Birth,Place of Birth
001,Lewis Hamilton,HAM,United Kingdom,07/01/1985,"Stevenage, England"
002,Valtteri Bottas,BOT,Finland,28/08/1989,"Nastola, Finland"
003,Max Verstappen,VER,Netherlands,30/09/1997,"Hasselt, Belgium"
004,Sergio Perez,PER,Mexico,26/01/1990,"Guadalajara, Mexico"
005,Daniel Ricciardo,RIC,Australia,01/07/1989,"Perth, Australia"
006,Carlos Sainz,SAI,Spain,01/09/1994,"Madrid, Spain"
007,Alexander Albon,ALB,Thailand,23/03/1996,"London, England"
008,Charles Leclerc,LEC,Monaco,16/10/1997,"Monte Carlo, Monaco"
009,Lando Norris,NOR,United Kingdom,13/11/1999,"Bristol, England"
010,Pierre Gasly,GAS,France,07/02/1996,"Rouen, France"
011,Lance Stroll,STR,Canada,29/10/1998,"Montreal, Canada"
012,Esteban Ocon,OCO,France,17/09/1996,"Evreux, Normandy"
013,Sebastian Vettel,VET,Germany,03/07/1987,"Heppenheim, Germany"
014,Daniil Kvyat,KVY,Russian Federation,26/04/1994,"Ufa, Russia"
015,Nico Hulkenberg,HUL,Germany,19/08/1987,"Emmerich am Rhein, Germany"
016,Kimi Raikkönen,RAI,Finland,17/10/1979,"Espoo, Finland"
017,Antonio Giovinazzi,GIO,Italy,14/12/1993,"Martina France, Italy"
018,George Russell,RUS,United Kingdom,15/02/1998,"King's Lynn, England"
019,Romain Grosjean,GRO,France,17/04/1986,"Geneva, Switzerland"
020,Kevin Magnussen,MAG,Denmark,05/10/1992,"Roskilde, Denmark"
021,Nicholas Latifi,LAT,Canada,29/06/1995,"Montreal, Canada"
022,Jack Aitken,AIT,United Kingdom,,
023,Pietro Fittipaldi,FIT,Brazil,,
024,Fernando Alonso,ALO,Spain,29/07/1981,"Oviedo, Spain"
025,Yuki Tsunoda,TSU,Japan,11/05/2000,"Sagamihara, Japan"
026,Mick Schumacher,MSC,Germany,22/03/1999,"Vufflens-le-Chateau, Switzerland"
027,Nikita Mazepin,MAZ,RAF,02/03/1999,"Moscow, Russia"
028,Robert Kubica,KUB,Poland,07/12/1984,"Krakow, Poland"
029,Max Verstappen,VER,Netherlands,30/09/1997,"Hasselt,Belgium"
030,Guanyu Zhou,ZHO,China,30/05/1999,"Shanghai, China"
031,Nyck De Vries,DEV,Netherlands,06/02/1995,"Uitwellingerga, Netherlands"
032,Carlos Sainz,SAI,Sapin,01/09/1994,"Madrid, Spain"
033,Oscar Piastri,PIA,Australia,06/04/2001,"Melbourne, Victoria"
034,Liam Lawson,LAW,New Zealand,11/02/2002,"Hastings, New Zealand"
035,Logan Sargeant,SAR,United States,31/12/2000,"Fort Lauderdale, Florida"
036,Oliver Bearman,BEA,United Kingdom,08/05/2005,"Chelmsford, England"
037,Franco Colapinto,COL,Argentina,27/05/2003,"Buenos Aires, Argentina"
038,Jack Doohan,DOO,Australia,20/01/2003,"Gold Coast, Australia"
